24,42,4,136,2022-06-29
25,61,0,105,2022-06-27
25,62,1,232,2022-06-30
41,30,23,53,2022-06-29
42,21,33,103,2022-06-28
69,70,1,1,2022-06-28
70,56,0,2,2022-06-26
24,42,0,133,2022-06-28
25,61,4,112,2022-06-30
25,62,1,234,2022-06-29
41,30,23,53,2022-06-30
42,21,33,99,2022-06-27
69,70,1,2,2022-06-27
24,42,0,132,2022-06-28
25,61,0,107,2022-06-28
25,62,1,231,2022-06-29
41,30,20,47,2022-06-28
42,21,33,102,2022-06-28
69,70,5,7,2022-06-27
24,42,0,128,2022-06-26
25,61,4,110,2022-06-29
25,62,0,222,2022-06-27
41,30,20,54,2022-06-30
42,21,33,104,2022-06-29
69,70,1,6,2022-06-29
24,42,2,134,2022-06-29
25,61,4,111,2022-06-30
25,62,1,228,2022-06-28
41,30,20,44,2022-06-27
42,21,21,105,2022-06-29
69,70,7,8,2022-06-30
24,42,0,127,2022-06-26
25,61,0,108,2022-06-28
25,62,1,230,2022-06-28
41,30,21,57,2022-07-01
42,21,33,100,2022-06-27
69,70,1,11,2022-07-01
24,42,0,140,2022-06-30
25,61,0,109,2022-06-29
25,62,1,233,2022-06-29
41,30,20,56,2022-07-01
42,21,35,107,2022-06-30
69,70,2,10,2022-07-01
24,42,4,139,2022-06-30
25,61,0,119,2022-07-01
25,62,1,236,2022-06-30
41,30,21,59,2022-07-01
42,21,35,106,2022-06-30
69,70,7,12,2022-07-01
24,42,3,138,2022-06-30
25,61,5,117,2022-07-01
25,62,1,229,2022-06-28
41,30,20,58,2022-07-01
42,21,36,111,2022-07-01
69,70,7,13,2022-07-01
24,42,2,137,2022-06-30
25,61,5,114,2022-07-01
25,62,51,237,2022-06-30
41,30,24,61,2022-07-01
42,21,36,113,2022-07-01
69,70,7,15,2022-07-01
24,42,1,135,2022-06-29
25,61,5,118,2022-07-01
25,62,50,235,2022-06-30
41,30,39,116,2022-07-01
42,21,35,108,2022-07-01
69,70,16,20,2022-07-01
24,42,2,137,2022-06-30
25,61,0,120,2022-07-01
25,62,1,225,2022-06-28
41,30,39,119,2022-07-01
42,21,36,112,2022-07-01
69,70,7,18,2022-07-01
24,42,0,131,2022-06-27
25,61,5,113,2022-07-01
25,62,1,224,2022-06-28
41,30,39,118,2022-07-01
42,21,36,110,2022-07-01
69,70,16,22,2022-07-01
24,42,,,2022-06-01
25,61,5,116,2022-07-01
25,62,1,240,2022-07-01
41,30,24,62,2022-07-01
42,21,40,115,2022-07-01
69,70,16,21,2022-07-01
24,42,0,130,2022-06-27
25,61,5,115,2022-07-01
25,62,51,242,2022-07-01
41,30,25,64,2022-07-01
42,21,39,114,2022-07-01
69,70,16,23,2022-07-01
24,42,26,150,2022-07-01
25,61,19,124,2022-07-01
25,62,1,243,2022-07-01
41,30,25,65,2022-07-01
42,21,39,121,2022-07-01
69,70,16,24,2022-07-01
24,42,8,148,2022-07-01
25,61,19,122,2022-07-01
25,62,50,249,2022-07-01
41,30,25,66,2022-07-01
42,21,41,122,2022-07-01
69,70,16,27,2022-07-01
24,42,4,142,2022-07-01
25,61,0,121,2022-07-01
25,62,51,238,2022-07-01
41,30,26,67,2022-07-01
42,21,42,123,2022-07-01
69,70,16,25,2022-07-01
24,42,15,149,2022-07-01
25,61,19,123,2022-07-01
25,62,50,239,2022-07-01
41,30,26,28,2022-07-01
42,21,42,126,2022-07-01
69,70,17,32,2022-07-01
24,42,26,149,2022-07-01
25,61,19,125,2022-07-01
25,62,35,253,2022-07-01
41,30,26,69,2022-07-01
42,21,41,127,2022-07-01
69,70,49,31,2022-07-01
24,42,27,144,2022-07-01
25,61,19,126,2022-07-01
25,62,35,250,2022-07-01
41,30,26,71,2022-07-01
42,21,41,129,2022-07-01
69,70,16,28,2022-07-01
24,42,20,147,2022-07-01
25,61,0,128,2022-07-01
25,62,54,252,2022-07-01
41,30,26,72,2022-07-01
42,21,41,128,2022-07-01
69,70,19,34,2022-07-01
24,42,26,143,2022-07-01
25,61,19,127,2022-07-01
25,62,55,251,2022-07-01
41,30,27,73,2022-07-01
42,21,44,129,2022-07-01
69,70,17,33,2022-07-01
24,42,2,141,2022-07-01
25,61,19,130,2022-07-01
25,62,57,256,2022-07-01
41,30,27,74,2022-07-01
42,21,44,132,2022-07-01
69,70,20,35,2022-07-01
24,42,8,146,2022-07-01
25,61,36,265,2022-07-01
25,62,36,262,2022-07-01
41,30,27,76,2022-07-01
42,21,41,131,2022-07-01
69,70,18,37,2022-07-01
24,42,0,129,2022-06-01
25,61,58,263,2022-07-01
25,62,56,257,2022-07-01
41,30,26,75,2022-07-01
42,21,41,130,2022-07-01
69,70,17,36,2022-07-01
24,42,26,154,2022-07-01
25,61,35,264,2022-07-01
25,62,36,259,2022-07-01
41,30,27,76,2022-07-01
42,21,45,135,2022-07-01
69,70,21,38,2022-07-01
24,42,26,151,2022-07-01
25,61,19,129,2022-07-01
25,62,36,260,2022-07-01
41,30,26,78,2022-07-01
42,21,46,135,2022-07-01
69,70,17,40,2022-07-01
24,42,24,153,2022-07-01
25,61,19,124,2022-07-01
25,62,57,258,2022-07-01
41,30,26,78,2022-07-01
42,21,49,134,2022-07-01
69,70,17,43,2022-07-01
24,42,25,156,2022-07-01
25,61,36,267,2022-07-01
25,62,52,261,2022-07-01
41,30,27,79,2022-07-01
42,21,46,138,2022-07-01
69,70,25,45,2022-07-01
24,42,26,155,2022-07-01
25,61,58,266,2022-07-01
25,62,58,271,2022-07-01
41,30,27,80,2022-07-01
42,21,48,140,2022-07-01
69,70,29,48,2022-07-01
24,42,24,152,2022-07-01
25,61,36,267,2022-07-01
25,62,36,269,2022-07-01
41,30,27,81,2022-07-01
42,21,47,139,2022-07-01
69,70,32,49,2022-07-01
24,42,24,152,2022-07-01
25,61,43,131,2022-07-01
25,62,61,270,2022-07-01
41,30,28,82,2022-07-01
42,21,45,134,2022-07-01
69,70,0,46,2022-07-01
24,42,35,149,2022-07-01
25,61,43,132,2022-07-01
25,62,58,268,2022-07-01
41,30,27,81,2022-07-01
42,21,48,144,2022-07-01
69,70,17,47,2022-07-01
24,42,35,248,2022-07-01
25,61,1,133,2022-07-01
25,62,62,270,2022-07-01
41,30,27,87,2022-07-01
42,21,46,141.00,2022-07-01
69,70,32,51,2022-07-01
24,42,35,244,2022-07-01
25,61,0,134,2022-07-01
25,62,36,275,2022-07-01
41,30,27,83,2022-07-01
42,21,49,143,2022-07-01
69,70,29,50,2022-07-01
24,42,35,246,2022-07-01
25,61,4,139,2022-07-01
25,62,46,272,2022-07-01
41,30,28,83,2022-07-01
42,21,48,142,2022-07-01
69,70,29,53,2022-07-01
24,42,35,2,2022-07-01
25,61,4,137,2022-07-01
25,62,58,276,2022-07-01
41,30,27,82,2022-07-01
42,21,50,145,2022-07-01
69,70,24,60,2022-07-01
24,42,26,157,2022-07-01
25,61,4,138,2022-07-01
25,62,58,274,2022-07-01
41,30,27,88,2022-07-01
42,21,48,147,2022-07-01
69,70,29,61,2022-07-01
24,42,26,162,2022-07-01
25,61,5,143,2022-07-01
25,62,61,273,2022-07-01
41,30,27,84,2022-07-01
42,21,50,146,2022-07-01
69,70,25,62,2022-07-01
24,42,26,161,2022-07-01
25,61,5,140,2022-07-01
25,62,58,280,2022-07-01
41,30,31,90,2022-07-01
42,21,51,148,2022-07-01
69,70,29,57,2022-07-01
24,42,26,160,2022-07-01
25,61,5,141,2022-07-01
25,62,62,278,2022-07-01
41,30,30,89,2022-07-01
42,21,52,153,2022-07-01
69,70,37,64,2022-07-01
24,42,48,158,2022-07-01
25,61,5,142,2022-07-01
25,62,58,277,2022-07-01
42,21,51,152,2022-07-01
69,70,24,62,2022-07-01
24,42,49,159,2022-07-01
25,61,0,290,2022-07-01
25,62,39,279,2022-07-01
42,21,48,151,2022-07-01
69,70,32,67,2022-07-01
24,42,47,167,2022-07-01
25,61,58,291,2022-07-01
25,62,58,281,2022-07-01
42,21,51,152,2022-07-01
69,70,40,68,2022-07-01
24,42,26,165,2022-07-01
25,61,7,292,2022-07-01
25,62,62,283,2022-07-01
42,21,53,156,2022-07-01
69,70,37,66,2022-07-01
24,42,49,164,2022-07-01
25,61,39,289,2022-07-01
25,62,63,284,2022-07-01
42,21,54,155,2022-07-01
69,70,32,69,2022-07-01
24,42,26,163,2022-07-01
25,61,5,147,2022-07-01
25,62,39,282,2022-07-01
42,21,53,154,2022-07-01
69,70,39,70,2022-07-01
24,42,26,166,2022-07-01
25,61,5,149,2022-07-01
25,62,44,136,2022-07-01
42,21,55,157,2022-07-01
24,42,26,168,2022-07-01
25,61,5,148,2022-07-01
25,62,4,135,2022-07-01
42,21,55,159,2022-07-01
24,42,26,170,2022-07-01
25,61,19,150,2022-07-01
25,62,58,286,2022-07-01
42,21,54,158,2022-07-01
24,42,26,169,2022-07-01
25,61,49,151,2022-07-01
25,62,39,285,2022-07-01
42,21,55,160,2022-07-01
24,42,26,172,2022-07-01
25,61,19,153,2022-07-01
25,62,63,287,2022-07-01
42,21,54,161,2022-07-01
24,42,26,173,2022-07-01
25,61,1,152,2022-07-01
25,62,58,288,2022-07-01
42,21,56,162,2022-07-01
24,42,26,174,2022-07-01
25,61,19,152,2022-07-01
25,62,62,294,2022-07-01
42,21,93,164,2022-07-01
24,42,26,174,2022-07-01
25,61,19,154,2022-07-01
25,62,39,293,2022-07-01
42,21,57,169,2022-07-01
24,42,60,177,2022-07-01
25,61,51,158,2022-07-01
25,62,5,146,2022-07-01
42,21,59,171,2022-07-01
24,42,34,178,2022-07-01
25,61,51,157,2022-07-01
25,62,5,144,2022-07-01
42,21,43,170,2022-07-01
24,42,32,176,2022-07-01
25,61,51,155,2022-07-01
25,62,5,145,2022-07-01
42,21,59,172,2022-07-01
24,42,60,175,2022-07-01
25,61,53,156,2022-07-01
25,62,65,296,2022-07-01
42,21,27,82,2022-07-01
24,42,26,185,2022-07-01
25,61,51,160,2022-07-01
25,62,65,295,2022-07-01
42,21,24,62,2022-07-01
24,42,34,182,2022-07-01
25,61,51,158,2022-07-01
25,62,55,301,2022-07-01
42,21,60,173,2022-07-01
24,42,60,180,2022-07-01
25,61,51,159,2022-07-01
25,62,65,299,2022-07-01
42,21,59,172,2022-07-01
24,42,60,183,2022-07-01
25,61,56,162,2022-07-01
25,62,39,300,2022-07-01
