Registration Number, Locus, Pail, Field Number
A220002,Unmatched,Unmatched,Unmatched
A220003,Unmatched,Unmatched,Unmatched
A220004,Unmatched,Unmatched,Unmatched
A220005,Matched,Matched in Square,Matched in Square
A220009,Matched,Matched in Square,Matched in Square
A220010,Matched,Matched in Square,Matched in Square
A220017,Matched,Matched in Square,Matched in Square
A220020,Matched,Matched in Square,Unmatched
A220022,Matched,Matched in Square,Matched in Square
A220025,Matched,Matched in Square,Matched in Square
A220027,Unmatched,Matched in Square,Matched in Square
A220031,Matched,Matched in Square,Unmatched
A220036,Matched,Unmatched,Matched in Square
A220039,Matched,Matched in Square,Matched in Square
A220061,Matched,Matched in Square,Matched in Square
A220069,Unmatched,Unmatched,Unmatched
A220071,Matched,Matched in Square,Matched in Square
A220074,Unmatched,Unmatched,Unmatched
A220076,Matched,Matched in Square,Matched in Square
A220077,Matched,Matched in Square,Matched in Square
A220078,Unmatched,Matched in Square,Matched in Square
A220081,Matched,Matched in Square,Matched in Square
A220090,Matched,Unmatched,Unmatched
A220095,Matched,Matched in Square,Matched in Square
A220098,Unmatched,Unmatched,Unmatched
A220100,Unmatched,Unmatched,Unmatched
A220103,Unmatched,Unmatched,Unmatched
A220109,Matched,Matched in Square,Matched in Square
A220110,Matched,Unmatched,Matched in Square
A220117,Unmatched,Unmatched,Unmatched
A220119,Unmatched,Unmatched,Unmatched
A220122,Matched,Unmatched,Unmatched
A220124,Unmatched,Matched in Square,Unmatched
A220129,Matched,Unmatched,Matched in Square
A220131,Unmatched,Unmatched,Unmatched
A220139,Matched,Matched in Square,Matched in Square
A220143,Unmatched,Matched in Square,Matched in Square
A220145,Unmatched,Unmatched,Unmatched
A220152,Matched,Matched in Square,Unmatched
A220155,Unmatched,Unmatched,Unmatched
A220162,Matched,Unmatched,Unmatched
A220174,Matched,Matched in Square,Matched in Square
A220175,Matched,Matched in Square,Unmatched
A220177,Unmatched,Unmatched,Unmatched
A220178,Unmatched,Unmatched,Matched in Square
A220182,Matched,Matched in Square,Matched in Square
A220187,Unmatched,Unmatched,Matched in Square
A220192,Matched,Unmatched,Unmatched
A220205,Unmatched,Unmatched,Matched in Square
A220207,Matched,Matched in Square,Matched in Square
A220212,Unmatched,Matched in Square,Matched in Square
A220215,Unmatched,Matched in Square,Matched in Square
A220217,Matched,Matched in Square,Matched in Square
A220219,Matched,Unmatched,Matched in Square
A220236,Matched,Matched in Square,Matched in Square
A220237,Unmatched,Unmatched,Unmatched
A220238,Unmatched,Unmatched,Unmatched
A220243,Matched,Matched in Square,Matched in Square
A220247,Matched,Matched in Square,Matched in Square
A220252,Matched,Matched in Square,Unmatched
A220255,Matched,Matched in Square,Unmatched
A220257,Matched,Unmatched,Matched in Square
A220259,Matched,Matched in Square,Matched in Square
A220263,Matched,Unmatched,Unmatched
A220270,Matched,Matched in Square,Matched in Square
A220273,Matched,Matched in Square,Matched in Square
A220276,Matched,Matched in Square,Matched in Square
A220282,Matched,Matched in Square,Unmatched
A220288,Matched,Unmatched,Matched in Square
A220289,Matched,Unmatched,Matched in Square
A220290,Matched,Unmatched,Matched in Square
A220291,Unmatched,Matched in Square,Matched in Square
A220295,Matched,Matched in Square,Matched in Square
A220298,Unmatched,Unmatched,Matched in Square
A220300,Unmatched,Matched in Square,Matched in Square
A220321,Matched,Matched in Square,Unmatched
A220324,Matched,Matched in Square,Unmatched
A220343,Matched,Matched in Square,Matched in Square
A220347,Matched,Matched in Square,Matched in Square
A220348,Matched,Matched in Square,Matched in Square
A220350,Matched,Matched in Square,Matched in Square
A220351,Matched,Matched in Square,Unmatched
A220353,Matched,Matched in Square,Matched in Square
A220354,Matched,Matched in Square,Matched in Square
A220362,Matched,Matched in Square,Matched in Square
A220366,Matched,Matched in Square,Unmatched
A220379,Matched,Matched in Square,Matched in Square
A220393,Unmatched,Matched in Square,Matched in Square
A220400,Matched,Matched in Square,Matched in Square
A220406,Matched,Matched in Square,Matched in Square
A220408,Matched,Unmatched,Matched in Square
A220410,Matched,Unmatched,Matched in Square
A220414,Matched,Unmatched,Matched in Square
A220415,Matched,Matched in Square,Unmatched
A220416,Matched,Unmatched,Matched in Square
A220426,Matched,Unmatched,Unmatched
A220428,Matched,Matched in Square,Matched in Square
A220429,Matched,Matched in Square,Unmatched
A220433,Matched,Matched in Square,Unmatched
A220434,Matched,Matched in Square,Unmatched
A220446,Matched,Unmatched,Matched in Square
A220452,Matched,Matched in Square,Unmatched
A220460,Matched,Unmatched,Matched in Square
A220463,Unmatched,Unmatched,Unmatched
A220472,Matched,Matched in Square,Matched in Square
A220476,Matched,Matched in Square,Matched in Square
A220485,Matched,Matched in Square,Matched in Square
A220488,Matched,Unmatched,Matched in Square
A220489,Matched,Unmatched,Unmatched
A220492,Matched,Unmatched,Matched in Square
A220495,Matched,Matched in Square,Unmatched
